source,target
Q13315,P00519
P04629,P00519
P52306,P01112
Q96JZ2,P07332
P52306,P01116
P12931,P29323
P36897,P37173
P63316,P13805
P21580,Q86VP1
P04637,Q9NZC7
P04637,Q9UNH5
P19438,Q13200
P35968,P98077
Q16832,P29353
P12830,O60716
P12830,Q75N03
P56199,O00499
P13612,O75530
Q01543,P15976
P40337,P21333
P40337,P61758
P40337,Q6IE81
P18887,P49916
P18887,Q96T60
P17028,Q15697
P21506,Q13263
P21506,O15164
Q9UP83,O15553
Q13402,Q9HBM0
P23025,Q13156
Q01831,P54725
P21333,Q8IY22
P10275,P21333
P21333,O75962
P21333,P41180
P51610,Q06546
P50052,Q9ULD2
Q96S59,P51784
P23246,Q15233
O15530,P41743
P51813,Q16825
Q13895,Q12816
Q99966,Q13485
Q86TC9,Q08043
Q16650,O14936
P41134,O14936
P98164,Q92796
Q15303,Q92796
P62166,Q9NZN1
O15085,Q9ULL4
Q6ZN44,Q9Y5V3
P42704,Q9UBK9
P45973,O43463
Q05086,Q9UHD9
P51151,Q7Z6M1
P56545,O95600
Q9BZI7,Q6DKK2
Q9BZI7,Q9HAU5
Q9BZI7,Q96EZ8
Q9H4D5,O14980
Q99741,Q9Y5P8
O60220,Q92783
Q99963,Q96B97
Q9Y4J8,P11532
Q15642,P42768
Q9NQX3,O43307
O60828,P83876
O60828,Q9Y2W2
P15976,Q8WW38
P00451,O14832
O60880,Q13291
Q06787,P63279
P51114,Q06787
Q06787,Q9UHK0
P26038,Q92574
P10398,P00966
P36507,P10398
P10398,Q9UNS2
P09884,P29558
Q92834,Q96KN7
Q92834,O43924
P28335,O75970
P08247,O43747
P21675,P17480
P10275,P62826
P10275,P49116
P10275,Q9Y6Q9
P10275,P78317
P10275,Q13772
P10275,Q9NQU5
Q96S59,P10275
P10275,Q96PM5
P10275,O75928
O14599,Q05086
Q9BX66,Q01101
Q8IY57,P25490
Q13185,Q14739
P45973,Q14739
Q9UPT6,Q07866
Q15303,Q13425
Q07817,Q9NQS1
Q07817,Q12983
Q07817,Q16799
Q07817,Q9NQC3
Q07812,Q16548
O95477,Q13158
P98164,Q96QZ7
Q9H9E1,P98164
P98164,Q9P2M1
P98164,P98082
P98164,Q15700
Q15543,P20226
Q05209,O43586
Q05209,P29353
Q05209,P49023
Q9NNX1,Q9UBB9
Q5VU43,Q08499
Q92793,P41235
Q92793,Q16236
Q92793,Q13569
Q92793,O43918
Q10567,O43747
Q96SB3,Q8N726
P52333,O95411
P52333,P42229
P63241,P46777
Q9Y3E5,Q08117
Q04724,Q96HZ4
Q04724,Q9Y261
P40189,Q04724
Q12929,O14640
O95985,P49454
Q92900,P54198
Q9UMS0,P54198
Q16513,Q12923
Q99569,Q14574
P54253,P38432
Q9Y5Y5,P40855
Q99608,P53384
Q15649,P41235
P41252,P41250
O43464,Q16539
Q9Y6W6,Q16539
Q96RK4,Q15154
P56945,Q13905
O15116,P28074
Q96S59,P31151
Q9BWF2,Q13045
P33240,P53999
Q05048,Q99728
O43543,O75771
O60682,Q02363
Q02363,Q99081
P15884,Q02363
O00623,P50542
Q92968,P50542
P53365,P62330
P52298,Q09161
Q6P1K2,Q16236
Q9NZJ5,Q16236
O95777,P38935
P78352,P48050
P16333,P54762
Q8N4C8,P16333
P46063,O00629
P46063,P52292
Q15303,P78352
Q15303,P46937
Q15303,Q15700
O75925,P42224
P49137,P29353
P78352,P63252
Q9HBG7,Q96CW1
Q96SB3,Q13009
P26599,P14866
P80217,Q13287
P49810,Q9Y2W7
Q15361,Q6NZI2
P46527,Q9UKX7
P53667,Q13873
P51114,Q96F07
O15357,Q9BX66
Q9Y618,Q96T58
Q9Y618,Q05516
P49918,P53667
Q16739,Q16799
P50454,Q9NRR5
Q13562,P54257
P54257,Q14203
P54257,O14964
P53618,Q9Y678
P53618,Q9UBF2
Q9UM54,P98082
Q9NPI6,Q13485
Q12830,P56270
Q9Y624,Q07157
P78536,Q12959
Q86SQ9,P61916
O15085,O43157
Q9UMX3,Q16548
Q16548,Q92934
P62312,P62316
Q9UK45,P62318
P62310,P62318
O95777,P62314
Q5T2W1,Q92887
Q9BY67,Q13368
Q9NZW5,P52888
Q9Y6W6,P45983
Q6UVK1,Q9C0E4
P62826,P43487
Q99741,Q13416
Q13416,Q9UBU7
O75419,Q13416
O43294,Q14289
Q9UMX0,P42345
P26006,O00499
O00499,O95219
P63104,P56945
P36894,Q15427
P98161,P49802
Q14103,Q9Y4Y9
Q76N89,O14640
Q8NEZ2,Q99816
Q92993,P41212
P10244,Q969S3
Q9HB71,P63208
Q13257,Q92731
P37231,Q13772
Q99933,P11142
O75807,Q99933
Q13322,Q6Y7W6
Q92786,Q09472
P54253,Q9NRR5
P54253,P39687
P54253,Q93009
Q15910,O75530
Q07666,Q13702
Q99967,Q92754
Q92963,Q12967
O14807,Q12967
P06401,Q05086
P54725,P55036
P54727,P55036
O95777,P78347
P10828,P62195
Q9BWF2,Q13077
Q5T1R4,Q13077
Q8IZH2,Q92925
Q9UBF6,Q93034
Q13263,Q15047
O00628,O14832
O00623,O60683
Q02447,P49842
O00287,P48382
Q5T1R4,Q12933
Q9BWF2,Q12933
Q13415,O00311
Q92843,O43521
Q9UGK3,Q13882
Q5RKV6,P20618
Q8IU60,P20618
Q14005,O14974
Q06587,O00257
Q8NF50,P63000
P63000,P52306
P63000,P53365
P15153,Q13616
O95777,P37837
Q8NER1,Q86SS6
O75410,O95619
O14744,P54105
Q8IUQ4,Q14807
Q86TG7,Q8IUQ4
Q8IUQ4,Q9HB71
Q86TG7,O43255
O15265,O43186
P46934,P62837
Q9UNY4,Q14919
Q13418,Q9H0C8
Q13418,P48059
P50570,Q9Y566
P50570,Q9UPX8
Q13867,P63279
Q14738,P61296
P61296,Q92905
P13569,Q9HD26
Q14493,Q8IV48
O15126,Q15811
Q8WWN9,Q99418
P48552,P51843
O94992,O60563
P49798,P35606
Q99759,Q13163
O00161,O95295
Q8IUM7,O00327
Q9H6Z4,O14980
Q08379,Q9H8Y8
P61326,Q9Y5S9
Q9UHC3,Q96QZ7
Q9NPH3,Q9H0E2
Q14192,P23246
Q12972,O75530
Q9HAU5,P60842
O43924,Q92730
Q13017,P61587
Q99729,Q9H3D4
Q96RI1,Q15788
P25205,P33992
P25205,O75419
P25205,Q9UBU7
P25205,O43913
P25205,O43929
P33992,O00311
Q09472,Q99967
Q99767,O94985
O15117,Q86WV1
Q9Y478,P54619
Q9Y478,Q9UGJ0
O43741,P54619
O43741,Q9UGJ0
P54619,Q9UGJ0
Q99666,Q92973
Q9Y6K1,P63279
P10828,Q9H0E9
P78317,Q9HBE1
Q9UNY4,Q99459
O60437,Q674X7
Q15424,Q14151
Q9UPT6,P53779
P53779,Q9UPT6
Q15759,O15379
Q8N2W9,O15105
Q15654,Q9HBW0
P50458,Q99967
O75461,Q8N488
P56282,O00422
P62324,Q99873
Q9NWF9,O15455
Q9NWF9,O00206
Q9NWF9,O60602
Q8N8S7,Q8IZP0
Q16629,O75319
O75319,Q13242
Q14511,P84022
Q9UBF6,Q13616
Q9UQ35,Q9H307
Q07820,Q92934
Q9UER7,Q96EZ8
P53602,O14981
O15360,P51532
Q8IZH2,Q14839
Q14155,Q9UPX8
Q96RU3,O95271
O15392,Q96GD4
Q93038,Q15628
Q8IZH2,Q13310
P26006,P47224
Q9Y572,Q13546
Q9UK45,Q9UKX3
Q9UDY8,O95999
Q96LW7,O95999
P61966,O75843
P61966,O43747
P56377,O43747
P56377,O75843
Q8IZH2,O75843
O75379,Q9BXS5
Q9UBB5,Q9HCN4
Q8WWY6,O95983
O95985,Q9HCK8
Q15276,P57058
O94941,P68036
Q5T2W1,Q9H015
Q5T2W1,O43572
Q13113,Q5T2W1
Q5T2W1,Q96S37
O00429,P49841
O94992,O60583
Q9UBF6,Q13619
Q9UBF6,Q13617
P51159,Q96C24
Q13895,Q12815
P49758,Q9NPF5
Q9NZW5,O75821
Q9Y6A5,Q99996
Q96RU3,Q99996
Q9Y2L1,Q13105
Q00722,Q96QT4
Q99569,Q96RT1
O15085,O15031
Q92730,O15031
O15116,Q9UBQ7
Q9Y678,Q9UBF2
A5D8V6,O14964
Q14344,O75969
O75791,Q13480
O75791,O95273
Q9UJX4,P11940
P38570,O75530
O60784,Q9H0E2
Q9UNY4,Q15025
Q9UNY4,Q9NPI6
Q9UNY4,Q8WUM4
Q9UNY4,Q13162
Q9UNY4,Q9H078
Q9UNY4,Q9Y6A5
O75716,Q9UJ70
Q9Y2A7,Q8IZP0
O95257,Q8TAE8
Q9UNF0,Q9UKS6
O14795,O15020
P48048,O14745
Q14155,Q9Y566
Q9H1J1,P49841
P41271,Q9UMX0
Q9UMX0,P07237
Q15075,Q9UL26
O94763,Q9NPF5
Q969H4,Q9NS23
Q9UKK3,Q14764
O75530,Q92769
Q9NRI5,Q99689
Q07820,Q9UMX3
Q9Y5X1,Q13444
Q9NWF9,Q9NR96
Q86YS3,P62491
Q9H1J1,Q01629
P17081,Q9HD26
P17081,Q9UPT5
P30039,Q9Y3F4
Q9H0D6,Q9H0E2
Q9P2A4,Q7Z7G0
Q96BK5,Q96EZ8
Q9BY11,Q9UKS6
Q9H3M7,Q9Y2Y4
O95196,Q9HD26
Q9UHC3,Q9HD26
Q9ULU4,Q9Y613
Q96JZ2,Q07912
O94829,P26367
Q9NQ66,Q96QT4
Q86WC4,Q9UGC6
Q86WC4,O76081
Q9Y5N6,O00311
Q9UPM8,Q9Y6B7
Q9BS16,P35712
O15116,Q9H270
O15116,Q96B26
O15116,Q5RKV6
O15116,O75113
O15116,Q9Y333
Q9Y333,O95777
Q9Y333,P62310
Q9Y333,Q9UK45
P62310,Q9UK45
P62310,Q9H0D6
P62310,Q969L4
Q9Y4Z0,Q8IZH2
P62312,Q96EZ8
P62312,P49005
Q9UK45,Q96B26
Q9UK45,O14966
Q9UK45,Q5RKV6
O95777,Q86Y22
O95777,Q9UBU7
O95777,Q9Y597
O95777,Q5RKV6
O95777,Q9NPI6
O95777,Q9BV44
Q9H8V3,Q9NPB6
P42704,Q66K74
P42704,Q9BXF3
P42704,Q9Y5Z4
Q9UJY1,P04792
Q8IZH2,P48643
Q9P2T0,P48643
Q13136,Q9Y2X7
O60506,Q06124
P10276,Q96F24
P10276,Q05516
Q9BV79,P10276
Q92890,Q8TAT6
Q96RU7,P18848
Q8IUM7,Q9HBZ2
O95453,Q9H0A9
Q9NQT4,P23246
P10828,Q15596
Q96F24,P10828
Q99684,Q9Y6X2
Q14511,Q96J02
Q96RS0,O75530
Q86SQ9,P03886
Q99417,Q8TBZ2
Q08397,Q9UBX5
P02795,Q15139
Q13976,P16066
P12931,P03891
Q9Y3C5,P42566
P48048,Q15599
Q9UJ96,Q14721
Q92813,Q8TEY7
P63279,Q12873
Q9NS56,P63279
O15534,Q16526
O15055,Q16526
O00327,Q16526
Q9NVV9,Q96IZ0
Q8NC51,Q12873
Q00613,Q92797
O60941,Q12840
P33991,O00311
P63244,Q92636
Q99708,P61968
P24864,Q13618
P26885,O43491
P42261,O43491
O15018,Q9UQB3
P63218,O14775
P50150,O14775
P63215,O14775
O14775,O60262
Q9H0F7,O75915
Q9Y2I7,Q7Z6M1
P61204,Q9UJY4
Q99523,Q9UJY4
Q5RKV6,Q96B26
Q5RKV6,Q15024
Q96IT1,Q96L73
Q9NZW5,Q8N392
Q9NZW5,Q9Y448
Q9NZW5,Q01780
Q9NZW5,Q9Y5X1
Q9NZW5,P42285
Q9NZW5,Q9NY61
Q8TB72,Q8WY41
Q9H0F7,Q66PJ3
Q9H0F7,Q15041
O15160,Q9Y2S0
Q96EY1,Q969K3
Q9UNL4,Q04206
Q9Y678,P61923
Q9Y678,Q9P299
Q96NW7,Q8WXI2
Q8IYI6,Q96KP1
Q9UHC3,Q9HAP6
Q9NV44,Q14582
Q92730,Q5T124
Q5RKV6,Q96LL9
O77932,Q9H0D6
Q9HAU5,Q9H0D6
Q9UKY1,Q9H4I2
P49137,Q8IXK0
O00311,Q9UBU7
O15511,P59998
Q86TC9,O76041
Q9GZT8,Q6I9Y2
Q9NZ52,Q99816
Q96KR7,P62136
Q9H0F7,Q8NHH9
Q9H0F7,Q8N6S5
Q8NFD5,P51532
O94906,Q9NX01
Q13136,O15083
O15083,O75335
Q9UI08,Q6XZF7
Q8NEZ2,Q9UK41
Q9P0L9,P19429
Q59H18,P19429
Q9H8V3,Q9Y2M5
Q15543,Q12962
Q5RKV6,Q9Y3B2
O94921,Q92599
Q9UKI8,Q9Y294
Q9UKI8,Q9NVP2
Q86SG2,Q86TC9
Q7Z5G4,Q08378
Q9BYE9,Q6P0Q8
Q99942,Q9Y613
P49842,Q07864
P49842,P62487
P49842,Q99808
P49842,P78395
P18615,Q8WX92
P18615,O75376
P18615,Q8WUQ7
O00299,O15116
O95870,P13164
O95870,Q99942
O95870,Q8TCT9
O95870,Q9BVK8
O95870,Q9H0R3
O95870,Q96KC8
O95870,Q9NQ84
O95870,O75391
O95870,Q15424
O95870,P48201
P67870,P19784
P67870,P07948
P67870,P46777
P67870,O95243
O95873,P22607
P48634,P60228
P48634,Q16891
P48634,Q13099
P48634,Q14157
P48634,Q07021
O95670,P36543
P48634,P09651
P48634,P52272
Q9H8Y8,Q9Y3Q8
Q6ZU52,Q9P209
Q12933,Q99618
O94868,Q5M9N0
Q9BQY4,Q96PV6
P43364,Q9BQP7
P19012,Q7L590
Q13137,Q96S44
O60238,Q9P104
Q15834,-
Q7L590,Q8NHQ1
Q14533,Q9BQD3
P60709,P23528
Q15834,P15622
P25791,Q15555
Q01844,Q9NRG1
Q14134,Q9BSW2
Q96AJ1,Q9BW66
Q92997,O75909
Q9H213,Q96BY2
P43364,Q8TBB1
Q15274,Q9BQ66
P32321,Q8TBB1
P08670,Q53TS8
Q12933,Q96EK7
Q8WV24,Q9BQ66
Q9P2K6,Q8N6Y0
Q12933,P24278
Q9HAF1,Q969R5
Q15642,Q9Y2W2
P98175,Q9UKA9
P57060,O95257
P49888,Q8TC92
Q96HA1,Q9Y5P4
O15162,Q16630
O96006,Q9Y4P9
O00214,Q13137
Q15038,Q96GG9
P36406,Q9H4K1
Q13137,Q8TES7
P35520,Q9NP79
Q9Y6E0,Q9BUL8
Q15645,Q9H0W9
P53567,P55198
O14964,Q9UPT5
Q9NWS9,Q9H4T2
Q15834,Q7Z3B3
Q9BQD3,Q9GZQ8
Q01844,Q9NYG2
P18848,Q13227
P21673,Q96I25
Q12933,Q9NVF7
P60660,O43809
Q9H4K1,Q969Y2
Q99750,Q9NUU7
P41743,Q9NPB6
Q01844,O60682
Q93062,Q96SI9
Q9HC98,Q15834
P61981,Q6ZU52
Q93062,Q86UW9
Q15645,O60269
O60941,Q96A04
O75791,O15156
Q93062,Q9H0E2
Q9UBF6,Q9NQX7
P32242,Q9BQ66
P51116,O95197
P61457,Q6ZVK8
Q01844,Q8N4F4
P46976,P13807
Q93100,Q9GZN8
Q15274,Q9UMX1
Q9NP66,Q96BS2
Q9UPT5,Q6PJT7
P56597,Q8WWB3
Q5TAQ9,Q969Y2
O94989,Q9Y3A3
P50995,O15162
Q9BXS5,Q96CG3
O43298,Q8TAU3
O95751,Q8TBB1
O95471,Q9BQY4
Q92934,P31947
Q13137,Q53FD0
P61978,Q96IZ5
P08670,O95251
P08670,Q9BT92
P49639,Q99750
Q13137,Q8N715
Q9H4K1,Q8N6Y0
O15162,Q9Y272
O95073,Q8N5R6
P19012,Q96GM5
Q15834,Q96AQ6
Q8N6Y0,Q8WWB3
O14641,P61457
Q15834,O75541
Q99750,Q9NRN7
Q15834,Q9GZT8
Q13490,P43364
O75909,Q9Y3Q8
P24522,Q13561
Q9NX65,Q9NWS9
P04259,P19012
Q16630,Q9NXP7
Q96HA1,O95994
Q9NZ81,Q53G59
Q8WUB8,Q969R5
Q99750,O43299
P62760,Q86UW9
Q9NRX4,Q9UJW3
P43355,Q9NQG6
Q99750,O00144
Q9NTM9,Q8TBB1
P61978,Q8NE01
Q96E35,O75864
Q93062,Q9BRK4
P37198,Q7Z3B4
Q969U6,Q9BQ66
Q8IXK0,Q13643
Q9UH92,P60520
O43663,Q8N6Y0
Q9NRG1,Q9GZT8
P15531,Q96HA8
P40426,Q6RW13
O75928,Q8IVL1
Q0VDD7,Q9UFG5
Q15019,Q15038
Q6ZU52,O60504
Q9UKG1,Q8NEU8
O75909,Q15834
O14641,P45974
Q16526,O15162
P17509,P21673
Q96HA8,Q9H773
P57052,Q9BQY4
O43638,Q93062
Q9BT49,Q96LR2
P12236,O15162
O00167,Q96MA1
P08651,Q9BRT6
P15622,Q7Z7J5
P51946,O60232
P19012,Q15154
Q9UL45,Q9Y3C0
Q9NVM9,Q8N720
Q9UNK0,Q9UEU0
Q86YR5,Q5M9N0
P51116,Q8WVF5
P52789,Q9UMX0
P60709,Q9Y281
Q15834,Q9Y3M9
P43364,Q8IXB1
O15162,O95336
Q9NVV9,Q86SE5
P51116,Q93062
O15162,Q86UW9
O95985,Q9UKJ5
P56545,Q9UIF8
P43364,Q9BW11
P63279,Q8NDC0
O60568,Q15834
O75340,Q9Y5Z4
O94972,Q9H5Z6
Q15038,Q6P1W5
Q13526,Q12933
Q15834,Q53TS8
Q9BWD3,Q9UMX0
P43364,Q92530
O43739,Q969H4
P49910,Q8IYF1
Q13137,Q8TBB1
Q9Y2I6,Q8NA61
Q8NHQ8,Q96NE9
Q15834,Q00994
O75909,Q7Z6G3
O95751,Q96PV7
O14641,Q9UNA4
Q9NR12,Q92530
Q15038,Q5VWP2
Q01844,O00160
O95251,Q8NHQ1
Q96G97,Q96HH6
O94972,Q96M61
Q01844,Q9BQD3
Q12929,Q9UL45
Q15006,O43402
Q9BXS5,P51116
O14639,P08670
Q96G97,Q9BZL3
P08670,Q9GZT8
P25208,Q14919
P49639,O15162
Q9UL45,Q96BD8
O95751,Q9UGP5
O60941,P37198
P43364,Q9Y375
P49910,Q15834
Q9BQD3,Q96LK0
Q9UGJ1,Q9P286
O43765,P10451
Q9NP50,Q969Y2
Q96EZ8,Q9BQD3
Q96EY1,Q96AQ9
P49366,Q9GZT8
Q9BRG1,Q9BQY4
Q15834,Q8N8B7
Q9NS73,Q96MT8
O94972,Q8IYF1
Q6UY14,Q6UY11
Q3YEC7,Q0VDD7
Q9P2A4,Q96EV8
Q12933,Q70EK8
Q99750,Q9H5Z6
O14641,Q8N5R6
O75525,Q9H9D4
Q96MT8,Q8N6Y0
P04637,Q96M61
P62308,Q96D03
Q99750,Q8TAI1
Q03154,Q99614
P49902,Q6ZVK8
P35900,Q8IYI6
Q9UNK0,O43889
P63279,Q96B23
P08651,Q96J77
Q16799,Q8N612
O95810,Q6ZVK8
P07910,O00505
Q9H0M0,Q14966
O00273,Q7Z6G3
Q8TAP4,Q86SE5
O75478,Q8IYI6
P62324,Q9UFF9
O15162,Q6UY11
Q96GM5,Q15834
P31269,Q15654
P25786,Q7Z6G3
P78362,P26368
Q14241,Q9Y2I6
Q15834,Q9UJ04
O15162,Q9UQ90
O96015,Q96FJ2
Q05397,O14508
Q92609,P60520
Q9UL45,Q9H8W4
Q13227,Q0VDD7
Q6ZU52,Q8IYF3
O95199,Q9BT78
Q15834,Q96M91
P63010,Q6ZU52
Q9H190,Q9BU76
O60568,Q9BQY4
O43597,Q9BSJ1
Q9UNF0,Q9BY11
Q15654,Q9H5Z6
Q12933,Q9NVZ3
P12236,Q9BQ66
Q93062,Q96K80
P48380,Q12933
Q13501,P60520
O94972,Q9UBZ4
O43765,Q9Y624
Q9Y6D9,Q8IYF3
Q99598,O95257
Q99750,Q02040
P35638,Q9BPX1
P55198,Q96RN5
P53992,Q15437
Q13526,Q9Y3Q8
Q9UJY4,Q9NZD8
Q15038,Q8N1L9
Q14596,Q9NP79
P68402,Q15102
Q9H4K1,Q9BUH8
P19012,Q9NTK1
Q99750,Q8TBE0
P08727,O14964
P63261,Q9Y281
O76083,Q13049
O00505,Q9Y247
Q01844,Q5VWX1
O75791,Q7L4P6
Q9NR12,Q9P286
P36406,Q8NFF5
Q14847,Q15645
Q96G97,Q9NZ43
Q99750,O94907
O76071,Q96M83
P22234,Q8TAP6
P05783,Q9UGJ1
Q13426,Q0D2I5
P43378,O95197
Q9H6L4,Q8WZ19
Q02040,Q15834
Q9NZD8,Q53H80
Q8WU10,Q96BW1
Q5JR59,Q9H4K1
Q9BPX1,Q96HA8
P08727,Q9BY27
Q99750,Q14213
Q14847,O15162
O94993,Q13145
Q13409,P51808
Q9NZN8,O75175
P50402,Q969F0
Q8IYF3,Q5JVL4
O75528,Q96ES7
P43358,P14927
Q9UBT2,Q9UBE0
P04899,Q99750
Q99259,P46952
P08670,Q9BVI4
O95751,Q6ZN18
O60232,Q53TS8
Q99750,Q9BUY5
Q93062,Q9BQY4
O75604,Q96ED9
P21964,Q15645
P49407,O43298
Q99750,Q24JQ0
Q06455,Q9P2A4
P08727,A8K8P3
Q9NX63,Q9BQ66
Q9H0E2,Q9BQY4
Q9GZT8,Q8N7W2
Q9Y2I6,Q8N5R6
O95990,O95967
P19012,Q8IYI6
Q07955,Q8TBB1
Q9P2K3,Q8NHQ1
P49910,O95251
Q9BUH8,Q8IV36
Q8TC92,Q9GZT8
O15162,Q9HB63
Q9Y6D9,Q9Y2I6
P98170,Q96HA8
P48775,O95671
O75525,Q8TBE0
Q9Y2W2,Q8WWV3
P38159,Q8N5R6
P51668,Q9HCM9
Q05516,O43791
Q01844,Q8WWF6
O43617,O75865
P43364,O14548
Q15834,Q9UGJ1
Q16630,Q9H0M0
Q9Y3Q8,Q96NE9
Q8IYF3,Q8WW14
Q14061,Q9BW62
P18206,Q9NYB9
Q01844,P49327
Q9NRG1,Q8NFF5
Q99750,P19634
Q53G59,Q9H204
Q12933,Q9UBZ4
Q6ZVK8,Q96CG3
P43364,Q9GZT8
Q96T60,Q9BQ66
Q99750,Q15475
P23297,P25815
P67775,Q15645
P28749,Q9BUH8
O14964,Q5VSY0
Q16851,O95376
Q13049,Q9UMX0
O14641,Q7Z7J5
Q15038,O75886
P36406,Q0VDD7
Q01826,P63279
O94972,P51116
P26992,Q92624
O15162,Q9GZM5
P08727,Q9NYB9
