disorder;gene_symb
cone-rod dystrophy;CRX, CORD2, CRD, LCA7, CACNA1F, CSNB2, CORDX3, CSNB2A, AIED, OA2, RPGR, RP3, CRD, RP15, COD1, CORDX1, PITPNM3, NIR1, CORD5, GUCY2D, GUC2D, LCA1, CORD6, RCD2, GUCA1A, GCAP, COD3, CORD14, RIMS1, RIM1, RIM, KIAA0340, CORD7, ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2, RLBP1, RPGRIP1, LCA6, CORD13, SEMA4A, SEMB, RP35, CORD10, RAXL1, QRX, CORD11, ARMD6, PROM1, PROML1, AC133, RP41, CORD12, CD133, MCDR2, STGD4, ADAM9, MDC9, MCMP, CORD9, CDHR1, PCDH21, PRCAD, CORD15, RP65, C8orf37, CORD16, RP64, RAB28, CORD18, TTLL5, STAMP, KIAA0998, CORD19, POC1B, PIX1, CORD20
congenital adrenal hyperplasia;STAR, HSD3B2, CYP21A2, CYP21, CA21H, CYP11B1, P450C11, FHI, CYP17A1, CYP17, P450C17
congenital adrenal insufficiency;CYP11A1, P450SCC
congenital afibrinogenemia;FGA, FGB, FGG
congenital aphakia;FOXE3, FKHL12, ASMD
congenital bile acid synthesis defect;AMACR, CBAS4, AMACRD, AKR1D1, SRD5B1, CBAS2, HSD3B7, CBAS1, CYP7B1, CBAS3, SPG5A
congenital diaphragmatic hernia;ZFPM2, FOG2, DIH3, SRXY9
congenital disorder of glycosylation;PMM2, CDG1A, MGAT2, CDGS2, CDG2A
congenital disorder of glycosylation type I;PMM2, CDG1A, ALG3, NOT56L, CDGS4, CDG1D, MPI, PMI1, CDG1B, ALG6, CDG1C, ALG12, CDG1G, ALG2, CDGII, DPAGT1, DPAGT2, DGPT, CDG1J, CMSTA2, ALG8, CDG1H, ALG1, HMAT1, HMT1, CDG1K, ALG9, DIBD1, CDG1L, DPM1, MPDS, CDGIE, MPDU1, SL15, CDGIF, TMEM15, DK1, SEC59, KIAA1094, CDG1M, RFT1, CDG1N, SRD5A3, SRD5A2L, CDG1Q, KRIZI, DPM3, CDG1O, ALG11, KIAA1266, CDG1P
congenital disorder of glycosylation type II;MGAT2, CDGS2, CDG2A, SLC35C1, FUCT1, CDG2C, SLC35A1, CST, CDG2F, MOGS, GCS1, CDG2B, B4GALT1, GGTB2, GT1, GTB, CDG2D, COG7, CDG2E, COG8, DOR1, CDG2H, COG1, LDLB, KIAA1381, CDG2G, COG4, COD1, CDG2J, COG5, GOLTC1, GTC90, CDG2I
congenital dyserythropoietic anemia;SEC23B, CDAN2, HEMPAS, CDAN1, CDA1, CDAN1A, KLF1, EKLF, INLU, HBFQTL6, CDAN4, C15orf41
congenital generalized lipodystrophy;BSCL2, SPG17, HMN5, PELD, AGPAT2, LPAAB, BSCL, BSCL1, CAV1, BSCL3, CGL3, PPH3, LCCNS, PTRF, CAVIN, CGL4
congenital hypothyroidism;PAX8, NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2, SLC5A5, NIS, TDH1, TPO, TPX, TDH2A, DUOXA2, TDH5, TSHB, CHNG4, DUOX2, THOX2, TDH6, THRA, ERBA1, THRA1, CHNG6
congenital ichthyosiform erythroderma;ALOX12B, ARCI2
congenital ichthyosis;TGM1, ICR2, ARCI1
congenital intrinsic factor deficiency;GIF, IF
congenital muscular dystrophy;CHKB, CHKL, CKEKB, EKB, MDCMC, SEPN1, SELN, RSMD1, CFTD, FKRP, MDC1C, LGMD2I, MDDGA5, MDDGB5, MDDGC5, LAMA2, LAMM, LARGE, KIAA0609, MDC1D, MDDGA6, MDDGB6, ITGA7, LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B
congenital myasthenic syndrome;CHAT, CMS1A2, DOK7, C4orf25, CMS1B, CHRNA1, ACHRD, CMS2A, SCCMS, FCCMS, CHRNB1, ACHRB, SCCMS, CMS2A, CMS1D, CHRND, ACHRD, SCCMS, CMS2A, FCCMS, CHRNE, SCCMS, CMS2A, FCCMS, CMS1E, CMS1D, CHRNA1, ACHRD, CMS2A, SCCMS, FCCMS, CHRND, ACHRD, SCCMS, CMS2A, FCCMS, CHRNE, SCCMS, CMS2A, FCCMS, CMS1E, CMS1D, CHRNB1, ACHRB, SCCMS, CMS2A, CMS1D, CHRNE, SCCMS, CMS2A, FCCMS, CMS1E, CMS1D, MUSK, RAPSN, CMS1D, CMS1E, SCN4A, HYPP, NAC1A, HOKPP2
congenital nonspherocytic hemolytic anemia;G6PD, G6PD1, GPI
congenital nystagmus;GPR143, OA1, NYS6
congenital ptosis;ZFHX4, ZFH4
congenital secretory chloride diarrhea 1;SLC26A3, DRA, CLD
congenital stationary night blindness;PDE6B, PDEB, RP40, CSNBAD2, GRM6, MGLUR6, CSNB1B, CACNA1F, CSNB2, CORDX3, CSNB2A, AIED, OA2, NYX, CSNB1A, NBM1, CABP4, CSNB2B, GNAT1, CSNBAD3, RHO, RP4, OPN2, CSNBAD1, TRPM1, MLSN1, CSNB1C
cornea plana;KERA, CNA2
coronary artery disease;MEF2A, ADCAD1, LRP6, ADCAD2, KHDC3L, C6orf221, ECAT1, HYDM2
craniofrontonasal syndrome;EFNB1, EPLG2, CFNS, CFND
craniometaphyseal dysplasia;SOST, VBCH, CDD, SOST1, ANKH, HANK, ANK, CMDJ, CCAL2, CPPDD, GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, IFT43, C14orf179, CED3, WDR19, SRTD5, ATD5, NPHP13, CED4
craniosynostosis;TWIST1, ACS3, SCS, CRS1, SKI, SGS, ERF, PE2, CRS4, MSX2, CRS2, HOX8, TCF12, HTF4, CRS3, ALX4, PFM2, FPP, FND2, CRS5
creatine transporter deficiency;SLC6A8, CRTR, CCDS1
cryptorchidism;INSL3, LGR8, GREAT
cutaneous porphyria;UROS
cutis laxa;ELN, FBLN5, ARMD3, ADCL2, ARCL1A, ALDH18A1, PYCS, GSAS, ARCL3A, ATP6V0A2, WSS, ARCL2A, PYCR1, PRO3, ARCL2B, ARCL3B, LTBP4, LTBP4S, LTBP4L, ARCL1C, FBLN5, ARMD3, ADCL2, ARCL1A, EFEMP2, FBLN4, UPH1, ARCL1B, PYCR1, PRO3, ARCL2B, ARCL3B
cyclic hematopoiesis;ELANE, ELA2, SCN1
cystic fibrosis;CFTR, ABCC7, CF, MRP7, FCGR2A, IGFR2, CD32, TGFB1, DPD1, CED
cystinosis;CTNS
cystinuria;SLC3A1, ATR1, D2H, NBAT, SLC7A9, CSNU3
cytochrome-c oxidase deficiency disease;APOPT1, APOP, COA5, C2orf64, PET191, COX10, COX14, C12orf62, COX20, FAM36A, COX6B1, FASTKD2, KIAA0971, PET100, C19orf79, TACO1, CCDC44
deafness dystonia syndrome;TIMM8A, DFN1, DDP, MTS, DDP1
dengue shock syndrome;CD209, CDSIGN
dentatorubral-pallidoluysian atrophy;ATN1, DRPLA, HRS, NOD
dentin dysplasia;SMOC2, SMAP2, DTDP1, DSPP, DPP, DGI1, DFNA39, DTDP2
dentinogenesis imperfecta;DSPP, DPP, DGI1, DFNA39, DTDP2, DSPP, DPP, DGI1, DFNA39, DTDP2
desmoplastic medulloblastoma;BRCA2, FANCD1, BROVCA2, GLM3, PNCA2, PTCH2, SUFU, SUFUXL, SUFUH
diabetic ketoacidosis;PAX4, MODY9, KPD
diastrophic dysplasia;SLC26A2, DTD, DTDST, D5S1708, EDM4
dihydropyrimidine dehydrogenase deficiency;DPYD, DPD
dilated cardiomyopathy;LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B, DMD, BMD, CMD3B, SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2, LDB3, ZASP, CYPHER, KIAA01613, CMD1C, LVNC3, MFM4, TNNT2, CMH2, CMD1D, RCM3, LVNC6, TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC, DES, CMD1I, MFM1, SCPNK, ARVD7, ARVC7, LGMD2R, EYA4, DFNA10, CMD1J, SGCD, SGD, LGMD2F, CMD1L, CSRP3, CRP3, CLP, CMD1M, CMH12, TCAP, LGMD2G, CMD1N, ABCC9, SUR2, CMD1O, ATFB12, CANTU, PLN, PLB, CMD1P, CMH18, VCL, CMD1W, CMH15, FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4, TPM1, CMH3, CMD1Y , LVNC9, TNNC1, CMD1Z, CMH13, TNNI3, CMH7, CMD2A, RCM1, CMD1FF, ACTN2, CMD1AA, DSG2, ARVD10, ARVC10, CMD1BB, NEXN, NELIN, CMD1CC, CMH20, RBM20, MYH6, ASD3, MYHCA, CMD1EE, CMH14, SSS3, TNNI3, CMH7, CMD2A, RCM1, CMD1FF, ACTC1, CMD1R, CMH11, ASD5, LVNC4, MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD, SDHA, SDH1, SDHF, CMD1GG, PGL5, PSEN1, AD3, PSEN2, AD4, STM2, CMD1V, TMPO, LAP2, CMD1T, BAG3, MFM6, GATAD1, ODAG, CMD2B, CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2, LAMA4, LAMA3, CMD1JJ, RAF1, CRAF, NS5, CMD1NN
distal arthrogryposis;TPM2, TMSB, AMCD1, DA1, DA2B, NEM4, PIEZO2, FAM38B, DA5, DA3, MWKS, PIEZO2, FAM38B, DA5, DA3, MWKS, FBN2, CCA, EOMD, MYH8, MYH3, MYH3, TNNI2, AMCD2B, DA2B, FSSV, TNNT3, AMCD2B, DA2B, FSSV, TPM2, TMSB, AMCD1, DA1, DA2B, NEM4, MYBPC1, LCCS4, ECEL1, XCE, DA5D
distal hereditary motor neuropathy;HSPB8, H11, E2IG1, DHMN2, CMT2L, HMN2A, BSCL2, SPG17, HMN5, PELD, GARS, SMAD1, CMT2D, HMN5, DCTN1, HMN7B, HSPB1, HSP27, CMT2F, HMN2B, HSPB3, HSPL27, HMN2C, DHMN2C
distal muscular dystrophy;MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD, DYSF, LGMD2B, MMD1, DYSF, LGMD2B, MMD1, ANO5, TMEM16E, GDD1, LGMD2L, FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CAV3, LGMD1C, LQT9
double outlet right ventricle;CFC1, CRYPTIC, HTX2, DTGA2, GATA6, AVSD5, ASD9, AVSD5, PACHD, GDF1, DTGA3, DORV, RAI, NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2, NKX2-6, CSX2, CTHM, TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR
dyschromatosis symmetrica hereditaria;ADAR, DRADA, DSH, DSRAD, IFI4, G1P1, AGS6
dyschromatosis universalis hereditaria;ABCB6, MTABC3, MCOPCB7, LAN, DUH3
dyskeratosis congenita;TERC, TRC3, TR, DKCA1, PFBMFT2, NOLA3, NOP10, DKCB1, DKC1, DKCX, WRAP53, TCAB1, WDR79, DKCB3, TERT, TCS1, EST2, DKCA2, DKCB4, PFBMFT1, CMM9, TINF2, TIN2, DKCA3, RTEL1, C20orf41, NHL, KIAA1088, DKCB5, DKCA4
dyslexia;DYX1C1, DYXC1, DYX1, CILD25, KIAA0319, DYX2, DYLX2, DLX2
dysplastic nevus syndrome;PTEN, MMAC1, GLM2, CWS1, CDKN2A, MTS1, P16, MLM, CMM2
embryonal rhabdomyosarcoma;SLC22A1L, BWSCR1A, IMPT1
endometrial carcinoma;CDH1, UVO, LCAM, ECAD, MLH3, HNPCC7, MSH6, GTBP, HNPCC5, PTEN, MMAC1, GLM2, CWS1
enlarged vestibular aqueduct;FOXI1, FKHL10, FREAC6, KCNJ10, SESAME, SLC26A4, PDS, DFNB4, EVA, TDH2B
epidermal nevus;FGFR3, ACH, HRAS, NRAS, ALPS4, NS6, CMNS, NCMS, PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5
epidermodysplasia verruciformis;TMC6, EVER1, EV1, TMC8, EVER2, EV2
epidermolytic hyperkeratosis;KRT1, EPPK, NEPPK, EHK, KRT10, EHK, BCIE, BIE
episodic ataxia;CACNA1A, CACNL1A4, SCA6, KCNA1, AEMK, EA1, SLC1A3, EAAT1, EA6, CACNB4, EJM6, EA5, EIG9
erythrokeratodermia variabilis;GJB3, CX31, DFNA2B, GJB4, CX30.3
erythropoietic protoporphyria;FECH, FCE, ALAS2, ANH1, ASB, XLEPP, XLSA, ANH1
esophagus squamous cell carcinoma;DEC1, DLEC1, DLC1, LZTS1, F37, FEZ1, RNF6, TGFBR2, HNPCC6, AAT3, MFS2, LDS2, WWOX, FOR, SCAR12, EIEE28
essential hypertension;ADD1, AGT, SERPINA8, AGTR1, AGTR1A, AT2R1, ATP1B1, CYP3A5, P450PCN3, ECE1, GNB3, HYT1, HYT2, HYT3, HYT4, HYT5, HYT6, NOS2A, NOS2, NOS3, PTGIS, CYP8A1, PGIS, CYP8, RGS5, SELE, ELAM1
essential tremor;DRD3, ETM1, FET1, FUS, TLS, ALS6, ETM4
exfoliation syndrome;LOXL1, LOXL
extraskeletal myxoid chondrosarcoma;CSMF, TAF15, TAF2N, RBP56
exudative vitreoretinopathy;FZD4, EVR1, NDP, ND, EVR2, LRP5, BMND1, LRP7, LR3, OPPG, VBCH2, OPTA1, EVR4, TSPAN12, NET2, EVR5
factor V deficiency;F5, THPH2, RPRGL1
factor XI deficiency;F11
factor XII deficiency;F12, HAF, HAE3
factor XIII deficiency;F13A1, F13A, F13B
familial Mediterranean fever;MEFV, MEF, FMF, MEFV, MEF, FMF
familial adenomatous polyposis;APC, GS, FPC, BTPS2, MUTYH, MYH
familial atrial fibrillation;KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2, KCNE2, MIRP1, LQT6, ATFB4, NPPA, PND, ANP, ATFB6, ATRST2, KCNA5, ATFB7, KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9, SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2, GJA5, CX40, ATFB11, ABCC9, SUR2, CMD1O, ATFB12, CANTU, NUP155, KIAA0791, ATFB15
familial combined hyperlipidemia;LPL, LIPD, HDLCQ11
familial encephalopathy with neuroserpin inclusion bodies;SERPINI1, PI12
familial hemiplegic migraine;CACNA1A, CACNL1A4, SCA6, ATP1A2, FHM2, MHP2, SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3
familial hypercholesterolemia;ABCA1, ABC1, HDLDT1, TGD, APOA2, EPHX2, GHR, GHIP, GSBS, ITIH4, PK120, ITIHL1, LDLR, FHC, FH, LDLCQ2
familial hypertriglyceridemia;APOA5, LIPI, LPDL, PRED5
familial juvenile hyperuricemic nephropathy;UMOD, HNFJ1, FJHN, MCKD2, ADMCKD2, REN, HNFJ2
familial lipoprotein lipase deficiency;LPL, LIPD, HDLCQ11
familial medullary thyroid carcinoma;NTRK1, TRKA, MTC, RET, MEN2A, HSCR1
familial meningioma;MN1, MGCR, NF2, PDGFB, SIS, IBGC5, PTEN, MMAC1, GLM2, CWS1, SMARCE1, BAF57, SUFU, SUFUXL, SUFUH
familial partial lipodystrophy;LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B, PPARG, PPARG1, PPARG2, CIMT1, GLM1, PPP1R3A, PPP1R3, PLIN1, PLIN, FPLD4, CIDEC, FSP27, CIDE3, FPLD5
familial visceral amyloidosis;APOA1, FGA, LYZ
fatal familial insomnia;PRNP, PRIP, KURU, CJD
fatal infantile encephalocardiomyopathy;SCO2, CEMCOX1, MYP6, COX15, CEMCOX2
fibrodysplasia ossificans progressiva;ACVR1, ACVRLK2, ALK2, FOP
fibular hypoplasia and complex brachydactyly;GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B
focal dermal hypoplasia;PORCN, PORC, DHOF, FODH
focal segmental glomerulosclerosis;ACTN4, FSGS1, FSGS, TRPC6, TRP6, FSGS2, CD2AP, CMS, APOL1, FSGS4, INF2, FSGS5, C14orf173, CMTDIE, MYO1E, MYO1C, FSGS6
follicular thyroid carcinoma;HRAS, MINPP1, HIPER1, NRAS, ALPS4, NS6, CMNS, NCMS, PTEN, MMAC1, GLM2, CWS1
fragile X syndrome;FMR1, FRAXA, POF1
fragile X-associated tremor/ataxia syndrome;FMR1, FRAXA, POF1
frontotemporal dementia;MAPT, MTBT1, DDPAC, MSTD, PSEN1, AD3, CHMP2B, DMT1, VPS2B, ALS17
fructose-1,6-bisphosphatase deficiency;FBP1
fucosidosis;FUCA1
fundus albipunctatus;PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1, RDH5, RHO, RP4, OPN2, CSNBAD1, RLBP1
galactokinase deficiency;GALK1
galactosemia;GALE, GALT
gallbladder disease;ABCG8, GBD4
gamma chain deficiency;IL2RG, SCIDX1, SCIDX, IMD4
gangliosidosis GM1;GLB1, MPS4B, GLB1, MPS4B, GLB1, MPS4B
gastrointestinal stromal tumor;KIT, PBT, PDGFRA, SDHB, SDH2, SDHIP, PGL4, CWS2, SDHC, PGL3
generalized dystonia;DYT1, TOR1A
generalized epilepsy with febrile seizures plus;SCN1B, GEFSP1, BRGDA5, ATFB13, SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3, GABRG2, GEFSP3, CAE2, ECA2, SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D
gestational trophoblastic neoplasm;NALP7, NOD12, PYPAF3, HYDM
glucocorticoid-remediable aldosteronism;CYP11B1, P450C11, FHI
glycine encephalopathy;AMT, NKH, GCE, GCSH, NKH, GLDC, HYGN1, GCSP, GCE, NKH
glycogen storage disease I;G6PC, G6PT, SLC37A4, G6PT1, SLC37A4, G6PT1
glycogen storage disease II;GAA
glycogen storage disease III;AGL, GDE
glycogen storage disease IV;GBE1, GSD4, APBD
glycogen storage disease IX;PHKB, PHKA2, PHK, XLG, PHK, PYKL, GSD9A, PHKG2, GSD9C
glycogen storage disease V;PYGM
glycogen storage disease VI;PYGL
glycogen storage disease VII;PFKM, GSD7
glycogen storage disease XV;GYG1, GSD15
growth hormone secreting pituitary adenoma;AIP, XAP2, ARA9, GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C, SSTR5
guanidinoacetate methyltransferase deficiency;GAMT, CCDS2
gyrate atrophy;OAT, GACR
hamartoma of hypothalamus;GLI3, PAPA, PAPB
head and neck squamous cell carcinoma;ING1, PTEN, MMAC1, GLM2, CWS1, TNFRSF10B, DR5, TRAILR2
hemochromatosis;BMP2, BMP2A, BDA2, HFE, HLA-H, HFE1, MVCD7, TFQTL2, HJV, HFE2A, TFR2, HFE3, SLC40A1, SLC11A3, FPN1, IREG1, HFE4, HAMP, LEAP1, HEPC, HFE2B
hemolytic anemia;NT5C3A, NT5C3, UMPH1, PSN1, AK1
hemolytic-uremic syndrome;CFHR1, FHR1, HFL1, CFHL1, CFHR3, FHR3, HLF4, CFHL3, HF1, CFH, HUS, ARMD4, AHUS1, MCP, CD46, AHUS2, CFI, FI, AHUS3, ARMD13, CFB, BF, GBG, AHUS4, ARMD14, CFBD, C3, ARMD9, AHUS5, THBD, THRM, AHUS6, THPH12
hemophagocytic lymphohistiocytosis;STX11, FHL4, HPLH4, HLH4, PRF1, HPLH2, FLH2, UNC13D, MUNC13-4, HPLH3, HLH3, FHL3, STXBP2, UNC18B, FHL5
hemophilia B;F9, HEMB, THPH8
hemorrhagic thrombocythemia;CALR, SSA, SH2B3, LNK, THPO, MGDF, MPLLG, TPO, THCYT1, MPL, TPOR, MPLV, THCYT2, JAK2, THCYT3
hepatocellular carcinoma;APC, GS, FPC, BTPS2, AXIN1, AXIN, CASP8, MCH5, ALPS2B, CTNNB1, MRD19, IGF2R, MPRI, MET, PDGFRL, PDGRL, PRLTS, PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5, TP53, P53, LFS1 , BCC7
hereditary angioedema;C1NH, HAE1, HAE2, SERPING1, F12, HAF, HAE3
hereditary breast ovarian cancer;BRCA1, PSCP, BROVCA1, PNCA4, BRCA2, FANCD1, BROVCA2, GLM3, PNCA2
hereditary coproporphyria;CPOX
hereditary elliptocytosis;SPTA1, EL2, SPH3, HS3, HPP, EPB41, EL1
hereditary hemorrhagic telangiectasia;ENG, END, HHT1, ORW, ACVRL1, ACVRLK1, ALK1, HHT2, GDF2, BMP9, HHT5
hereditary lymphedema;FLT4, VEGFR3, PCL, LMPH1A, GJC2, GJA12, CX47, PMLDAR, HLD2, SPG44, LMPH1C, VEGFC, VRP, LMPH1D
hereditary mucosal leukokeratosis;KRT4, CYK4, WSN1, KRT13, WSN2
hereditary multiple exostoses;EXT1, EXT2
hereditary night blindness;SAG, RP47, GRK1, RHOK, RK
hereditary sensory neuropathy;SPTLC1, LBC1, SPT1, HSN1, HSAN, WNK1, PRKWNK1, KDP, PHA2C, HSAN2, HSN2, NTRK1, TRKA, MTC, NGF, NGFB, HSAN5, FAM134B, HSAN2B, SPTLC2, KIAA0526, SPT2, LCB2, HSN1C, NSAN1C, ATL1, SPG3A, HSN1D, DNMT1, MCMT, HSN1E, ADCADN, KIF1A, ATSV, UNC104, SPG30, HSN2C, MRD9, DST, BPAG1, DMH, D6S1101, HSAN6, EBSB2, SCN11A, HSAN7, FEPS3, ATL3, HSN1F
hereditary spastic paraplegia;ATL1, SPG3A, HSN1D, SPAST, SPG4, BSCL2, SPG17, HMN5, PELD, ZFYVE26, KIAA0321, SPG15, CYP7B1, CBAS3, SPG5A, SPG20, PLP1, PMD, HLD1, SPG2, NIPA1, SPG6, KIAA0196, SPG8, RTSC, KIF5A, NKHC, SPG10, SPG11, KIAA1840, FLJ21439, RTN2, NSPL1, SPG12, HSPD1, SPG13, HSP60, HLD4, PGN, SPG7, CMAR, CAR, B4GALNT1, GALGT, GALNACT, SPG26, DDHD1, PAPLA1, KIAA1705, SPG28, ZFYVE27, SPG33, REEP1, C2ORF23, SPG31, HMN5B, KIF1A, ATSV, UNC104, SPG30, HSN2C, MRD9, ERLIN2, SPFH2, C8orf2, SPG18, PNPLA6, NTE, SPG39, NTEMND, BNHS, FA2H, FAAH, FAXDC1, FAH1, SCS7, SPG35, SLC33A1, ACATN, AT1, SPG42, CCHLND, AP4M1, SPG50, CPSQ3, NT5C2, NT5B, PNT5, SPG45, GJC2, GJA12, CX47, PMLDAR, HLD2, SPG44, LMPH1C, AP5Z1, KIAA0415, SPG48, AP4E1, SPG51, CPSQ4, AP4B1, SPG47, CPSQ5, AP4S1, CPSQ6, SPG52, GBA2, KIAA1605, SPG46, VPS37A, HCRP1, SPG53, CYP2U1, SPG56, TECPR2, KIAA0329, SPG49, DDHD2, KIAA0725, SPG54, C12orf65, COXPD7, SPG55, C19orf12, NBIA4, SPG43, REEP2, C5orf19, SPG72, TFG, HMSNP, SPG57
hereditary spherocytosis;ANK1, SPH2, SPTA1, EL2, SPH3, HS3, HPP, SLC4A1, AE1, EPB3, EPB42, SPH5
hidradenitis suppurativa;NCSTN, PSENEN, PEN2, PSEN1, AD3
holocarboxylase synthetase deficiency;HLCS, HCS
holoprosencephaly;SHH, HPE3, HLP3, SMMCI, MCOPCB5, TGIF, HPE4, SIX3, HPE2, ZIC2, HPE5, PTCH1, NBCCS, BCNS, HPE7, GLI2, HPE9, CJS, CDON, CDO, HPE11
homocystinuria;CBS, MTHFR
hydrocephalus;CCDC88C, HKRP2, DAPLE, KIAA1509, HYC, SCA40, L1CAM, CAML1, HSAS1, MASA, SPG1, MPDZ, MUPP1, HYC2
hydrolethalus syndrome;HYLS1, FLJ32915, KIF7, HLS2, ACLS, JBTS12
hyperaldosteronism;KCNJ5, GIRK4, KATP1, LQT13
hyperargininemia;ARG1
hyperinsulinemic hypoglycemia;ABCC8, SUR, PHHI, SUR1, HHF1, TNDM2, KCNJ11, BIR, PHHI, HHF2, TNDM3, GCK, HHF3, GLUD1, INSR, HHF5, HADHSC, SCHAD, HHF4, SLC16A1, MCT1, HHF7, MCT1D
hyperkalemic periodic paralysis;SCN4A, HYPP, NAC1A, HOKPP2
hyperlipoproteinemia type V;APOA5
hyperlysinemia;AASS
hypermethioninemia;AHCY, SAHH, ADK
hyperparathyroidism;HRPT2, C1orf28, HRPT2, C1orf28
hyperthyroidism;TSHR, CHNG1, TSHR, CHNG1
hypertrophic cardiomyopathy;TNNT2, CMH2, CMD1D, RCM3, LVNC6, TPM1, CMH3, CMD1Y , LVNC9, MYBPC3, CMH4, CMD1MM, LVNC10, CAV3, LGMD1C, LQT9, MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD, MYLK2, MLCK, PRKAG2, WPWS, CMH6, MYL3, CMH8, MYL2, CMH10, ACTC1, CMD1R, CMH11, ASD5, LVNC4, CSRP3, CRP3, CLP, CMD1M, CMH12, TNNC1, CMD1Z, CMH13, MYH6, ASD3, MYHCA, CMD1EE, CMH14, SSS3, VCL, CMD1W, CMH15, TNNI3, CMH7, CMD2A, RCM1, CMD1FF, TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC, MYOZ2, CMH16, JPH2, JP2, CMH17, PLN, PLB, CMD1P, CMH18, CALR3, CRT2, CMH19, NEXN, NELIN, CMD1CC, CMH20
hypochromic microcytic anemia;NRAMP2, STEAP3, TSAP6, AHMIO2
hypogonadism;GNRHR, LHRHR, HH7
hypohidrotic ectodermal dysplasia;EDAR, DL, ED3, EDA3, HRM1, ECTD10A, ECTD10B, EDAR, DL, ED3, EDA3, HRM1, ECTD10A, ECTD10B, IKBKG, NEMO, FIP3, IP2, IPD2, AMCBX1, IMD33, ED1, EDA, ECTD1, EDA, HED1, STHAGX1
hypokalemic periodic paralysis;CACNA1S, CACNL1A3, CCHL1A3, TTPP1, HOKPP1, SCN4A, HYPP, NAC1A, HOKPP2
hypoparathyroidism;GCMB, PTH
hypophosphatasia;ALPL, HOPS, TNSALP, ALPL, HOPS, TNSALP, ALPL, HOPS, TNSALP
hypopituitarism;LHX3, CPHD3, PROP1, CPHD2, LHX4, CPHD4, POU1F1, PIT1, CPHD1, OTX2, MCOPS5, CPHD6
hypoplastic left heart syndrome;GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2
hypospadias;AR, DHTR, TFM, SBMA, KD, SMAX1, HYSP1, MAMLD1, CXorf6, F18, HYSP2
hypotrichosis;CDSN, HTSS1, HYPT2, PSS1, HR, AU, MUHH1, HYPT4, LPAR6, P2RY5, P2Y5, LAH3, ARWH1, HYPT8, CDH3, CDHP, PCAD, HJMD, LIPH, LAH2, ARWH2, HYPT7, APCDD1, HHS, HYPT1, HTS, DSG4, LAH, HYPT6, KRT74, K6IRS4, KRT6IRS4, HTSS2, HYPT3, ADWH, SNRPE, HYPT11, RPL21, HYPT12
ichthyosis vulgaris;FLG, ATOD2
idiopathic generalized epilepsy;ME2, ODS1, CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, CACNB4, EJM6, EA5, EIG9, GABRD, GEFSP5, EIG10, EJM7, SLC2A1, GLUT1, DYT18, PED, GLUT1DS, EIG12, DYT9
idiopathic pulmonary fibrosis;MUC5B, SFTPA1, SFTP1, SFTPA2, SPA2, COLEC5
immunoglobulin alpha deficiency;TNFRSF13B, TACI, CVID2
inclusion body myopathy with Paget disease of bone and frontotemporal dementia;VCP, IBMPFD1, ALS14
inclusion body myositis;GNE, GLCNE, IBM2, DMRV, NM, MYH2, GNE, GLCNE, IBM2, DMRV, NM
infantile cerebellar-retinal degeneration;ACO2, ICRD
