disorder;gene_symb
Joubert syndrome;INPP5E, MORMS, JBTS1, CORS1, OFD1, CXorf5, SGBS2, JBTS10, RP23, TMEM216, JBTS2, CORS2, MKS2, AHI1, NPHP1, NPH1, SLSN1, JBTS4, CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14, TMEM67, MKS3, JBTS6, NPHP11, RPGRIP1L, KIAA1005, JBTS7, MKS5, CC2D2A, KIAA1345, MKS6, ARL13B, ARL2L1, JBTS8, TECT1, JBTS13, TMEM237, ALS2CR4, JBTS14, CEP41, TSGA14, JBTS15, TMEM138, JBTS16, C5orf42, JBTS17, OFD6, TCTN3, TECT3, C10orf61, OFD4, JBTS18, TMEM231, JBTS20, MKS11, CSPP1, CSPP, JBTS21, PDE6D, JBTS22
KBG syndrome;ANKRD11, ANCO1, KBGS
Kahrizi syndrome;SRD5A3, SRD5A2L, CDG1Q, KRIZI
Kallmann syndrome;FGFR1, FLT2, OGD, KAL2, HH2, HRTFDS, PROKR2, PKR2, GPR73L1, HH3, PROK2, PK2, BV8, HH4, CHD7, IS3, HH5, FGF8, HH6
Kaposi's sarcoma;IL6, IFNB2, BSF2, HSF, HGF
Kartagener syndrome;DNAI1, CILD1, ICS, PCD
Kawasaki disease;ITPKC
Kennedy's disease;AR, DHTR, TFM, SBMA, KD, SMAX1, HYSP1
Klippel-Feil syndrome;GDF6, MCOP4, KFS1, MCOPCB6, LCA17, MEOX1, MOX1, KFS2, GDF3, KFS3, MCOPCB6, MCOP7
Koolen de Vries syndrome;KANSL1, KIAA1267, MSL1V1, KDVS
Krabbe disease;GALC
L-2-hydroxyglutaric aciduria;L2HGDH, C14orf160
LADD syndrome;FGF10, FGFR2, BEK, CFD1, JWS, TK14, BBDS, FGFR3, ACH
LEOPARD syndrome;PTPN11, PTP2C, SHP2, NS1, RAF1, CRAF, NS5, CMD1NN, BRAF, NS7
Lafora disease;EPM2A, MELF, EPM2, NHLRC1, EPM2A, EPM2B
Landau-Kleffner syndrome;GRIN2A, NMDAR2A, FESD, LKS
Laron syndrome;GHR, GHIP
Larsen syndrome;FLNB, SCT, AOI, LRS1
Leber congenital amaurosis;GUCY2D, GUC2D, LCA1, CORD6, RCD2, RPE65, RP20, LCA2, SPATA7, HSD3, LCA3, AIPL1, LCA4, LCA5, C6orf152, NMNAT1, NMNAT, PNAT1, LCA9, RD3, LCA12, C1orf36, CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14, RDH12, LCA13, LRAT, LCA14, RPGRIP1, LCA6, CORD13, CRX, CORD2, CRD, LCA7, CRB1, RP12, LCA8, IMPDH1, RP10, LCA11, KCNJ13, SVD, LCA16, GDF6, MCOP4, KFS1, MCOPCB6, LCA17
Legg-Calve-Perthes Disease;COL2A1
